cafe_name,cafe_nickname,membercount
"서울삼성병원, 대학교수출신 교정 전문의, 30년 경력 경승현치과",azeratgxz,1102
안녕 서울,qnaclub,1694
♥유방암 이야기♥ [유방암/수술/치료/유방재건/친목] 대표카페,uvacenter,187156
동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣,dongtantwomom,154649
경매아라누리,johnadan1741,150
동탄2신도시 분양 정보 & 경기 남부&진안 부동산 투자 정보,ehdxks2,224562
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,2933coco,1229
"동탄맘♡동탄스토리 [동탄1,2신도시 동탄맘들의 카페]",minskin7679,49699
병점맘 스토리,bgga,55167
용광맘(용인맘 광교맘 수원맘 수지맘 분당맘 판교 동탄맘 안성맘,junkart,328522
◆동탄맘들 모여라,dongtanmom,323100
철도청[치아턱교정치과보험양악수술임플란트미백돌출입안티성형],chuldo,624105
명품 치과위생사,1stdh,79172
e편한세상 용인 한숲시티 입주민 대표 카페,forestcitypeople,19547
"십자인대 및 무릎환자(연골판,관절연골,관절염)치료/재활 모임",aclknee,98014
"미엘맘스비 No.1 안성,평택,고덕 육아커뮤니티 / 안평맘",magic26,83126
"동탄맘[동탄맘들모여라,동탄맘,동투맘,동탄2신도시,동탄,화성]",eulkwan,51078
청소동우회,clean365,97967
메디114 ▶ 성공개원과 병원성장을 위한 의사소통 플랫폼,kfpsdotcom,33427
코기러브[한국웰시코기클럽],corgilove,32432
수원 망포맘,orangetoak4,16758
ㅣ의사이야기ㅣ병원개원 A to Z,icompanion,16210
<오행공> 오산맘들의 행복한 공간,ohanggong,45039
"맘스홀릭 베이비 (350만 엄마들의 임신, 육아 지식in 카페)",imsanbu,3536750
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),hnmom,48448
수원여대 치위생과,cldnltodrhkghkdlxld,2464
치건사모 - 치과 건강보험을 사랑하는 모임,chigunsamo,79093
카페 파우더룸 [ 화장품.뷰티.쇼핑.일상 ],cosmania,1941995
개원비밀공간,anesinformation,7167
(치아)를 사랑하는 사람들 모임,victory009,3
일상정보 공유 카페,gozldwns123,3461
타일마켓_타일시공 견적비교&셀프인테리어,officenara,855
행복한 이야기 카페,ucando44,3038
부동산 스터디',jaegebal,2187657
선천성모반을 완치하는 그날까지,moban7,101396
덴탈잡코리아,dentaljobkorea,7879
화성맘♥경기도 화성시 육아 맘카페♥동탄 신도시,focsa,79569
"가아사(성형카페,피부,동안,재수술정보공유)",luxury009,364184
인천맘 부평맘 톡톡 (부평 부개 삼산 산곡 청천 갈산 ),koo0959,1909
"임산부모여라 알럽맘-임신,출산,육아,이벤트,공구,실비,태아보험",15668981,430688
건강한 방법,5513135,8604
"부지런한 사장님 - 소상공인,병원,학원,이미용,온라인전단지",hackseason1,10294
◈EV4 공식 동호회◈ 기아 『클럽 EV4』 대표카페,clubng,84353
"모두의건강[성형외과,안과,치과,피부과,한의원,병원, 정보공유",everyhealthtime,1311
"탈다이어트, 행복은 내가 알아차릴 때 비로소 존재하는 것",roloc,1131
오산 세교맘들의 동행,sekoymom,38187
(화성태안3지구)안녕 송산맘 모여라♬,hisongsan,8986
오산맘들의 스토리(오맘스),osane,40065
수원 아이파크시티맘,suwoniparkmom,4258
건강이 행복이다,devilserver3gi,6027
인생 하프타임,dtyizjse4,3171
양심치과 정보 한눈에 보기,vkdhzown1,3009
난치성 피부질환 완전정복,antisteroid,910
임플란트 치과 잘하는 곳 추천,implant22,3
"[정성쿡]외식창업아카데미/음식점,호프,포차,식당,치킨,고기창업",foodclinic,15887
인생 유통기한 변경 유튜브 커뮤니티,warcraftmap2,9372
ㆍ피터팬의 좋은방 구하기ㆍ,kig,3053936
안평맘 ♥ 평택 안성 1위 맘카페-평택맘 안성맘 고덕맘 오산맘,fo2b,173456
"독공사★공무원카페,9급7급공무원,PSAT,군무원,계리직,사회복지",m2school,885593
건강지킴이들의모임,mindcontrolclub,3079
꿀벌퀴즈방,tossbang,2055
"간대모│임상, 대학원, 보험심사/건보/공무원, 산업/연구 간호사",angel2nurse,122776
동탄 하우스피드,housefeed,9
"스펙업｜취업,대학생,인턴,대기업,GSAT,대외활동,공모전,스펙",specup,2152707
"푸꾸옥 도깨비- 베트남 푸꾸옥 자유여행,호텔리조트,항공권,맛집",ysm5828,341671
"급매물과 반값매매-부동산,창업 투자,구인구직,유통,라이프정보",bk1009,887482
행복한 치아관리 세번째,brownuscdq,25
행복한 치아관리 두번째,orangekiial,34
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",fox5282,624917
『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,knife67,121013
에브리뷰핏 - 세상의모든 리뷰&커뮤니티 카페,vmfjthsutleo,3028
패밀리세일,famsale,446922
정보다모아보자,wjdqhekahdkqhwk,224
"다낭 고스트 - 베트남 다낭자유여행 ,다낭여행,맛집,호텔리조트",warcraftgamemap,889160
"올댓리햅/재활,물리치료,작업치료/정보공유;운동,치료,채용,교육",tunac,1540
크리닉 석세스 가이드의 의료상권조사,clinicopencom,16
"서집달 - 대한민국 NO.1 도시계획 스터디카페 (투자,내집마련)",towngtx1,37519
임플란트 치과 추천,implant1,10
당뇨친구(1형당뇨/2형당뇨/임신당뇨/당뇨학교/당뇨연합),iddm,6036
앳빌듀 영어회화,atbuildu,876
인천맘 쏙 (인천 부평 계양 작전 서구 청라),mcsj3,3434
치아모 :: 치아 건강정보 모음,strawberra,523
동탄 동탄2 공부잘하는아이 [ 동공아 맹모],dongtanedu1,34758
완정 사랑 이야기,koreadietcoach,798
내소원內瀟園,2009garden,780
iNG 요가&플라잉요가 연희점,inghotyoga4465,751
프리도그-강아지무료분양 고양이무료분양 유기견무료분양 사이트,freedogcat,357055
평택과 고덕신도시 내집마련 부동산과 분양정보 [올어바웃평택],agence,131231
[죽방] 죽전보정마북구성동백 엄마들의 카페,jookjeonmom,35037
용인 한보라마을,hanbora,17633
"향남맘카페_네이버 대표 향남맘 카페(향남1,향남2지구,향남엄마)",hnmommy,29255
"대한민국 매물천국(부동산,분양,상가,오피,주택,아파트,땅)",seungho01024229704,1855
화성 동탄 내집마련: 부동산 교육 학군 육아 생활정보 무료홍보,purplex1bvv,15
●디젤매니아● 대한민국 일등 패션 커뮤니티 디매인 DMAIN,dieselmania,1140371
아반강고 힐링카페 아픈 반려 강아지와 고양이를 위한 힐링카페,healingdogcat,299126
오산 롯데캐슬 스카이파크 (실 입주자 커뮤니티),osanlottecastleapt,2773
병원마케팅연구소,ownyourbranding,496
인포매니아 (INFOMANIA),wbsc2021,7
르무통 LeMouton,lemouton,37847
대한민국을 위한 행동 / Act for Korea,refugeeout,6760
분따 - 분당.판교.위례 따라잡기,2008bunsamo,262406
네이버No.1 이명극복 고군분투 성장기 카페,onquest,101262
◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,hongsamprimetech55,791
사할린록산원,ssd2015,737
자유홍보 및 공유카페,jreyoutube,215
상가뉴스레이다,sangganews,10678
생활의 모든 정보! 개꿀딱 커뮤니케이션!,illnesses,18720
통큰자유,tongkn,165
바른탑치과 남양점 * 치아건강 지킴이,singglegamedown,313
문서 서식 자료 마당,cafemunsu,3
반도10차 반도단지내 부동산,toto12341234,152
"백조&백수의 희망만들기_취업,구인,구직,이력서,자소서,면접",makehope,96600
▶▶동탄맘스모여라◀◀,ilovecodycafe,17952
보라카이 드보라 자유여행,deboracay,68949
한국노르딕워킹센터(KNWC),nwcenter,1503
피티스(onpts)온라인퍼스널트레이닝,thaateam,1409
화성시 맛집 정보 지역꿀팁,qkrrksekrhaehfdl,18955
♬~수원맘 모여라,byungs94,378347
오산 유림치과병원,yulimdent,3
쇼핑핫핫,hothotshopping,92
동탄치과 치아교정 임플란트ㅣ동탄이즈치과 공식 카페,isdent,118
동캠클럽 (동탄 중심으로 가족과 캠핑하는 캠퍼들의 모임),dongcam,476
[용인맘] 용인엄마들의 모임,yimom,70817
"레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아,커뮤니티]",remonterrace,3008068
뷰메랑 :: [뷰티&메디컬&라이프&리뷰&체험&핫딜&건강],tn123gus123,30852
미즈넷-임신 육아 임산부 교육 뷰티 아기용품 핫딜 리뷰 체험단,miznett,332032
세상 모든 정보 여기에,dllq111cu,2849
♥여성성형 전문_헤스티아 여성의원♥,hestiawomen,71
동탄 부동산 현재와미래,ffsfffffsl1l1iie2o05,48417
척추질환 환우모임 [국내 최대의 모든 척추 관련 커뮤니티 공간],peopledisc,465380
『여우야』뷰티카페 (성형수술/화장품/성형후기/이벤트/체험단),feko,2005086
[거북맘vs토끼맘]아동심리/언어치료센터/ADHD/틱/발달장애/상담,getampethskin,337071
일등맘 수다방,sanmoschool,158758
판례 연구방,lawgoing,17
오큐소프트 카페,ocusoft,1050
난청아이 육아카페,welove7dren,4439
드림성형외과/안면윤곽/눈성형/코성형/지방이식/가슴성형/리프팅,dreamdream1004,2711
범어 자이르네,beomeoxirn,13
"나트랑도깨비-베트남나트랑자유여행,무이네,달랏,맛집,호텔,투어",zzop,1023021
수원맘스토리♥영통 권선 장안 팔달 광교맘카페-동탄 오산 화성,nexus01,168508
이가득 - 치아검진/충치치료/임플란트/치아교정/라미네이트/ETC,piaproject11,12133
데드라이엠푸드(이고시다카페) - 데드라(Dedra EM Food),igosidahealth,804
에코짐ecogym,ecogym,903
"메디칼리뷰 - 전문 의료 정보, 고급 의료 정보, 의료전문 상담",bnteam05,788
선침패치&디톡스패치,sunchim,969
"♧건강한 마을♧(친환경,유기농,건강식품,다이어트,효소,오가닉)",organicfamily,797
"독취사-취업,대학생,대기업,공기업,GSAT,NCS,인턴,공모전,토익",dokchi,3440028
설탕보다 나트라비아!! 천연 스테비아 입니다.,natravia,1099
슬랜더톤,slendertn,737
평택맘이샵,zoommagirl,751
"레몬테라쓰 [인테리어,리폼,DIY,결혼,육아,요리]",sgdeadzone,815
산화스트레스와SOD,oxidativestress,744
신동탄 반월맘 모여라!,lovefactory89,4137
"베나자-베트남나트랑자유여행,달랏,무이네,호텔,투어,리조트맛집",mindy7857,1076612
폐업 지원중입니다 [원상복구 폐업청소 지원 상가정리 점포철거],ownerfighting,2
정관진 제3군단,cjk1456,2414
동탄역 반도유보라아이비파크678차 맘,bando678mom,1566
동탄역 시범한화 꿈에그린프레스티지,dongtanktxhanhwa,2065
"맘이베베 (핫딜, 육아, 놀이)",skybluezw4rh,726217
K-NAIL 대한네일미용사회,knail,18294
스마트부자클럽,smartrichclubroom,94
"국내1위 다이어트 커뮤니티 씨씨앙(식단,운동,후기,헬스,체험단)",cantsb,542376
"강사모-반려견 훈련 교육법, 강아지 종류 유기견 입양 방법 안내",dogpalza,1988458
"맘스톡톡 - 엄마들의 이야기 (육아정보,체험단,홈스쿨,돌잔치)",aajumma,130517
[ 부동산몬스터 ] 개발사업.분양대행.시행.분양상담사.분양광고,postalgta,29851
"지후맘-임신, 출산, 육아정보, 체험단,이벤트 광고,아기용품공구",1msanbu,465380
용인맘 모여라♥1위 맘카페-광교맘 분당맘 수지맘 기흥맘 처인맘,easyup,360807
"경남개인회생,경남개인파산 전문 법무법인 율인",5gkrsusdudnfqks,2447
대한민국 모든 경품이벤트,koreagift,1876
동탄2 서희스타힐스 입주자 모임,dt2a69,1182
꼰대파파 [아빠들의 넋두리 한판],papachoego,2
아름다운 여인들 치과위생사,beautifuldental,13911
알고가자 동네병원,qaz54542,481
우리동내정보창고,purplecqcz0,271
청소야 놀자 [전국청소전문가모임]청소무료교육모임카페동우회,akstar,12732
양산지구 입주자카페,dealimworld,3509
라일樂: 라이브방송과 퀴즈로 일상의 행복을 함께 나누는 즐거움,livequizshow,9584
동탄2신도시 / 고덕신도시 부동산이야기 & 상가분양정보,oneroomlife01,54
늘품 화성느린학습자 부모회,nuelpoom,465
시흥 배곧신도시 총연합회,lovesiheunggunja,93039
꿈이있어 행복한 사람들의모임 복지카페,62831003,7182
동사모(동탄사랑모임),dtsamo,57294
