Expression,Count
으로,42
하는,12
려요,10
에서,9
인한,9
너무,8
하나가,6
있는,6
이란,5
때문에,4
욱신,4
인해,3
있을때,3
인레이,3
인데,3
했는데,3
하면,3
리고,3
치아,2
하면서,2
로인한,2
할때,2
릴때,2
으로인한,2
는?,2
모를,2
했던,2
해요,2
하다가,2
대신,2
치과,2
파벌,2
파절,2
해는데,2
거리는,2
cing,2
walking,1
ck,1
룽치,1
크래,1
니를,1
차있는데,1
비쳐,1
에서의,1
색소침착,1
생활,1
떼웠던,1
후에,1
으로씌우나요,1
이보수,1
쀼리,1
깨젔어요,1
레짘,1
상태로,1
짧으면,1
해야,1
가서,1
께진,1
의치,1
양치,1
갈때,1
안해,1
없을때,1
뺀뒤,1
런트,1
심을때,1
미취,1
삽입,1
좌측,1
모두몇대인가,1
타원에서,1
중단되어,1
한이도,1
에의한,1
낮으면,1
편해요,1
편한가,1
보다,1
편함,1
잇몸꺼짐,1
벌레,1
붉어짐,1
으로변햇어요,1
속에,1
치로,1
이용한,1
정리,1
부릿지,1
부러지면,1
데되나,1
x-ray,1
오버텐쳐,1
염정,1
바른이턱,1
만남았을때,1
완전히시멘트한뒤,1
들지않았을때,1
골절,1
될수,1
이개부,1
시야확보,1
마치후,1
여드름,1
단단한,1
알보칠,1
긎성,1
전후,1
radioluency,1
초진,1
apicoe,1
omy,1
발음,1
이튼,1
정이든,1
https://blog.naver.com/elza79,1
별문제,1
없다,1
치거ㅏ,1
덩탄,1
어디로,1
픽스펴,1
루나,1
임프레션,1
높낮이,1
메가젠,1
덴티스,1
정보,1
틀리면,1
짧은,1
력이,1
그냥,1
두기,1
재삭립,1
패스보는,1
키트,1
빼내는것,1
보전과,1
한테,1
받는게,1
좋나요,1
듕탄,1
잔문의,1
다이아스,1
안양,1
지지,1
암ㅎ게,1
남겨,1
떼우기,1
이사,1
가리는판,1
tbi,1
직후,1
파편,1
본뜨기,1
려서,1
스마트렌즈,1
아프진않은데,1
emergenci,1
흘들리는,1
오래,1
뚜껑,1
부러질,1
emergeny,1
크라운,1
블랙트라이앵글,1
자연,1
부목,1
한림대,1
하는곳,1
퍼져,1
라트한,1
거터퍼처,1
둘어,1
블로그,1
설측,1
받고,1
비뚤어진,1
앞티가,1
조절,1
발취,1
j자,1
깨지면,1
파근,1
장비있는,1
특수,1
붉게,1
정확,1
붉은,1
푸른빛,1
붉은색,1
방문,1
칫과,1
페럴,1
이펙트,1
본존과,1
칙하,1
페럴이펙트,1
좁을때,1
기도,1
체결,1
모자란,1
라미네으트,1
경기도,1
보증,1
안됨,1
가성비,1
데어떤,1
되요,1
앞늬,1
양옆,1
중량,1
달라서,1
솟은,1
부딪힐때,1
나아지는법,1
없애는법,1
이전,1
부딪힐ㅋ대,1
오프닝,1
분쟁,1
나타나,1
거리는데,1
아무는는,1
있어서,1
제2,1
아프면,1
했는데이파요,1
하고,1
정상,1
잘된건지,1
원ㅇㄱㄴ,1
추적,1
관찰,1
통탄2,1
후몇개월뒤,1
강태로,1
가면,1
마니간,1
치료,1
간것은,1
그르브,1
다물기만,1
이생겼다,1
까메졌어오,1
리유는?,1
변햇어요,1
상담,1
형상,1
두번째,1
돌아감,1
냉온자극,1
짜기,1
정출된,1
올리디,1
"27,28번",1
다녀온후,1
알글에,1
곳에,1
붓는,1
쒸운,1
이부었는데,1
붙기,1
붇기,1
봇기,1
양배농술,1
부움,1
치로후,1
차절,1
치근,1
이갈이,1
빠르게,1
단순,1
벗기니,1
섞고,1
부었다,1
밑이,1
mar,1
불량,1
꿈의,1
평택,1
연대,1
스타,1
세브란스,1
보유,1
관4,1
연세대,1
모급,1
건지,1
상아질,1
모습,1
안아팟는데,1
이가,1
모르는,1
증산,1
??,1
와동형성,1
소구지,1
같을,1
같을때,1
멈춘,1
트라이앵글,1
참조은,1
메꿔주기,1
굽어있는,1
c자,1
외형과,1
구강,1
매우는,1
유두,1
왁스,1
모델,1
기흥역,1
4개,1
가온,1
스캐너,1
새로,1
플라즈마,1
원람에,1
가생길수,1
과.,1
은어떤치아인,1
롸성,1
보전,1
적으로,1
인시,1
하다말다,1
근질,1
워킹블리치,1
색돌아옴,1
어두운,1
아래,1
핑크색,1
내돈,1
지자국,1
불소효과,1
해서,1
지색,1
시적,1
충치,1
큰점,1
재심경,1
중에,1
심해지면,1
종양,1
오염방지,1
마산,1
강릉,1
커짐,1
가라앉았다가,1
첫날,1
심해,1
남아있음,1
변해요,1
대힉,1
병우ㅗㄴ,1
부으면,1
찬건지???,1
끝났는데,1
받았던,1
8번,1
dontic,1
7번,1
받은것이,1
찢어지는,1
동틴,1
썪어서,1
처리,1
얇게,1
떼울때,1
친료는,1
하나,1
겉에,1
한꺼번에,1
소리,1
떼우고,1
렞ㄴ,1
썩었을때,1
지고,1
오래됐어,1
없지만,1
시린입니다,1
8년된,1
바꾸고,1
시려,1
2nd,1
caries,1
절삭후,1
키움,1
뽄뜨기전양치,1
부착,1
말리기,1
나온거,1
장.,1
벌어지면,1
80대,1
삭음,1
교헙면,1
6번,1
은색,1
동투,1
판정,1
하지않고,1
못살리나요,1
할수있는곳,1
스마일,1
고철이,1
거의다,1
됬는데,1
지게하는,1
임블,1
심지가,1
보촐아,1
지켜,1
쓰나요,1
걸리나,1
가건,1
남겨도,1
기건,1
문제,1
치쇼,1
빼는,1
부셔졌어요,1
ok,1
2개윌에,1
할수있는,1
보는,1
구로,1
받았던곳,1
신겅관,1
했는데도,1
울산,1
있는곳,1
바뀐,1
얼마,1
남지,1
않은,1
남아있는,1
잔조,1
치짗,1
얼마남지,1
장점,1
영구,1
pelpotomy,1
절술과,1
관련하여,1
이용하여,1
주제,1
fc,1
비가역성,1
pulpotmy,1
pulpotony,1
두번에,1
완화로,1
약제,1
구글,1
번져요,1
썩었어,1
온가족,1
상학동에,1
있어도,1
란드?,1
콧속,1
3개월,1
과잉,1
설치되어,1
까매졍ㅅ,1
하이웰,1
이.까매져,1
과벙중,1
변했는데,1
쐬웠는디,1
뜯어내니,1
게변햇어요,1
오르세,1
부터,1
까마면,1
신걍,1
도르니,1
이빠,1
썪음,1
끝이,1
변하,1
깜해져요,1
씌우는,1
해주는곳,1
크라웃,1
나타나요,1
보임,1
이운,1
씌어있는,1
ㅍㄱㆍ절,1
찌릿찌릿,1
잘보는,1
찌릿함,1
윗몸,1
저작시,1
심고,1
부었,1
레이저,1
브릿치,1
하는건지?,1
간곳,1
간격,1
60대,1
칠료,1
확대,1
씌우면,1
가루,1
색을보는,1
방밥,1
밝아졌어요,1
거슬려,1
얼룩,1
잎니,1
벗겨보니,1
벗겨,1
옆쪽,1
넓은,1
들어감,1
들어갈수,1
부상,1
밀리는,1
들어갔어요,1
이마,1
움푹,1
누워,1
있음,1
와이어,1
김천,1
introus,1
밀린다,1
남양읍,1
injury,1
intrusison,1
수지관,1
inturs,1
intrug,1
들어갈때,1
손상,1
내잍.ㄴ치돠,1
앞네,1
벌어지소,1
란토,1
내설,1
#41,1
약한,1
랴트,1
수퍙,1
2개윌,1
2개웡,1
언제,1
상학,1
얇은,1
넓혀,1
증대,1
의심치아,1
없으면,1
우싣,1
평활면의,1
효과가,1
큰것,1
6세,1
떼움,1
씰린트,1
끌림,1
추가맹출후,1
광주,1
메우기,1
추가,1
위해,1
홈매꾸기,1
나이,1
홈메꾸기,1
러버덤,1
60대후반,1
누렇게,1
메꾸는,1
순측골판,1
증강술,1
불발,1
빌치후,1
강서구,1
안들어,1
치과에서,1
섞은,1
안들어요,1
44번,1
끼리,1
부딪혔는디.,1
이부어,1
문에,1
이아팡ㅅ,1
붑고,1
박아서,1
피가나요,1
시리고,1
앞미,1
3unit,1
열도,1
나요,1
부딪혀,1
뒤에,1
누르면,1
어디가,1
검붉은,1
때운게,1
선홍빛,1
물혹,1
픽업,1
에이스,1
초음파,1
형태,1
안된,1
상병,1
기산,1
침범있는,1
침범한,1
보유한,1
올바른,1
요?,1
생길수있는,1
주저앉고,1
흐트러졌을때,1
브잇지,1
주저앉은,1
부종,1
친료,1
안전거리,1
현대해상,1
수지,1
못하고,1
다쳤는데,1
자랄까요,1
선생님,1
빠진,1
있는데,1
정출,1
파크,1
텅빔,1
10년,1
같은,1
변이,1
apex,1
지대치,1
지르코니,1
이물감,1
수리시,1
진곳,1
이.,1
저릿한,1
이봉이지,1
암ㅎ나요,1
내려와,1
갈아내기,1
어떤,1
못할,1
질하는곳,1
능동,1
벌어,1
젔어요,1
상태,1
만드는곳,1
인레,1
후회,1
3면,1
만지면,1
깨져,1
튼튼한,1
관련,1
갔을때,1
간것,1
살릴수있는지,1
or,1
tomy,1
간것처럼,1
줄이있어요,1
한국,1
청주,1
갔다,1
안하면,1
신동,1
11번,1
21번,1
다수,1
가.,1
50년,1
고있는,1
동타,1
여부,1
반송동,1
입에,1
먹을수,1
있는거,1
완치,1
렉스레이,1
은근한,1
드는,1
다듬기,1
1탄,1
뼈가녹아없을때,1
리지,1
뽑아야하는지,1
타석증,1
내이,1
뽑아야,1
상황,1
보철,1
헐어서,1
메탈,1
어렸을때,1
때우는,1
우유,1
띄우기,1
리온,1
때우는거,1
통즌,1
몇일뒤,1
재충전,1
흔적,1
반지,1
넘어간,1
까매지는,1
상학동,1
봉담,1
골든,1
혜택있나,1
의고통,1
고령,1
릴수도,1
70세이상,1
인플런트,1
눌려서,1
창원파티마,1
이랫니랑,1
어디가더붙나요,1
윗이,1
일플런트,1
일수,1
어그니,1
깨짖,1
티안나게,1
해야하는,1
맢닠,1
선생,1
필링,1
없을,1
아프고,1
차단술,1
음주,1
치골,1
광교,1
절재술,1
지근단체거술,1
빼는데,1
신도시,1
42번,1
파고든,1
부자연,1
낮아,1
낮춰,1
자연치낮아,1
세균,1
죽이기,1
다쳐서,1
짧아지는,1
방지,1
노람,1
아플때,1
장치,1
아름다운,1
덧니로,1
안짧아지는,1
보일때,1
틀어짐,1
주사,1
오리하면,1
무너져,1
빠지려,1
빠지는,1
떠요,1
치ㅣ가ㅗ,1
외소치,1
쒸운이,1
씨운뒤,1
지나아린다,1
보강작업,1
통중,1
꽉잡고있는,1
거거,1
후2년지나,1
이있다,1
옆몈,1
레딘,1
옥정,1
마이,1
shade,1
guide,1
날카로움,1
하는게,1
신견,1
변샏,1
증세,1
람트,1
의저작기능,1
위로,1
크략,1
연구,1
쐐기,1
떼어내다,1
gold,1
쐐기작용,1
니로,1
덜채워짐,1
영구적?,1
졌을때,1
벗겨졌을때,1
검사,1
속으로,1
상태체크,1
인래이,1
앤도,1
흔드리는,1
는안,1
있나,1
ㅊㅣ과,1
듯한,1
물마시고,1
압력,1
손으로,1
만질때,1
총증,1
탁한,1
치사,1
약해져,1
말고,1
후주,1
골유착,1
후가글주,1
심함,1
줄어드는,1
몇일,1
있다가,1
사라진,1
옆으로,1
약소독,1
쁘리,1
처치,1
염증,1
신경지료후,1
끼는,1
재질,1
층치,1
썪어,1
씌워는데,1
소독,1
구내염,1
얼마동안,1
후영증,1
술은,1
부러지고,1
났어요ㅜ,1
술을,1
해야하나,1
특정,1
생겼어요,1
서서히,1
녹아,1
없어진다,1
약재,1
넘어져,1
방향,1
로단단한걸씹은후,1
유림,1
유아,1
없어지는,1
찍었는데,1
잇몸이,1
뿌옇게,1
나와요,1
여드름처럼,1
도중,1
볼록,1
또는,1
앜니,1
앞리,1
쒸우는,1
인몸,1
테이킹,1
내려앉ㅇ.ㅁ,1
앞티,1
내려않음,1
삐뚤어짐,1
깊은,1
실선,1
맨끝,1
되어,1
자기치아보전,1
부부치과,1
해결,1
카레,1
측면,1
보여,1
퇴추,1
멍듬,1
드러나면,1
벌너짐,1
정중이개,1
일산,1
발어짐,1
앞ㅇ니,1
막혔을때,1
드러남,1
결손,1
란ㅌ,1
동탐역,1
내려앉으,1
근단,1
유격,1
의한,1
성형술,1
인공뼈,1
확율,1
27번,1
하남,1
효과,1
타이트,1
삐둘어진곳,1
못하나,1
성장,1
만들어졌을때,1
apexipcat,1
형성슐,1
연장,1
형성,1
열린,1
rmseks,1
gudtjdtnf,1
수산화,1
apexcificatt,1
먼저빼는,1
잇몸뼈,1
녹음,1
겉보기에,1
어버먼트,1
풀림,1
brd,1
파일,1
노화로,1
이내려와,1
틈이,1
긁어,1
버철,1
있으면,1
기둥,1
이랑똑같이안,1
뺀것,1
파괴된,1
뼈가,1
파괴,1
보인다,1
이상해,1
제르코니아,1
두개연결쉬우는거,1
주나,1
재재,1
구개측,1
부천,1
냄새,1
이상한,1
구분,1
조각,1
접착,1
잘때우는,1
베스트,1
붙이기,1
때짐,1
계획서,1
표시,1
알아보는,1
레짐,1
글래스,1
오노머,1
드러나는현상,1
시멘트,1
x레이,1
canal,1
mesiobuccal,1
내돈내산,1
3d,1
mb,1
약자,1
의정부,1
급설,1
복합,1
상아징,1
타진,1
반응,1
아기,1
누출,1
팽창,1
수축,1
crown,1
adaptat,1
리앤도,1
치고ㅓ,1
점막염,1
염으로,1
를해야만잇몸뼈가생기나요,1
영어,1
윤민저,1
리젼,1
인레니,1
